Date,diff
2015-12,-40
2015-12,-7103
2015-12,45
2015-12,517
2015-12,6142
2015-12,-3017
2015-12,-13683
2015-12,8739
2015-12,-12923
2015-12,-747
2015-12,12771
2015-12,-6859
2015-12,-8124
2015-12,3628
2015-12,-6114
2015-12,1581
2015-12,-736
2015-12,5713
2015-12,-5542
2015-12,9129
2015-12,-2101
2016-01,-9366
2016-01,3578
2016-01,912
2016-01,4094
2016-01,-1540
2016-01,6516
2016-01,3204
2016-01,936
2016-01,-7863
2016-01,-6571
2016-01,8662
2016-01,2274
2016-01,-4078
2016-01,2647
2016-01,4655
2016-01,-9257
2016-01,-7154
2016-01,694
2016-01,4563
2016-01,6138
2016-01,252
2016-01,-2721
2016-01,-20950
2016-01,0
2016-01,0
2016-01,0
2016-01,6760
2016-01,5184
2016-01,4084
2016-01,-3064
2016-01,3148
2016-02,8222
2016-02,4193
2016-02,-12324
2016-02,11562
2016-02,-14096
2016-02,3264
2016-02,672
2016-02,1421
2016-02,3714
2016-02,-322
2016-02,-3671
2016-02,-2302
2016-02,-9820
2016-02,-1973
2016-02,1231
2016-02,8342
2016-02,9347
2016-02,-1311
2016-02,-302
2016-02,2525
2016-02,-4432
2016-02,8181
2016-02,-12100
2016-02,-6372
2016-02,15341
2016-02,-2528
2016-02,-5348
2016-02,8214
2016-02,2517
2016-03,2552
2016-03,-4314
2016-03,-2134
2016-03,-6692
2016-03,654
2016-03,809
2016-03,12660
2016-03,5029
2016-03,4968
2016-03,763
2016-03,-4059
2016-03,-5423
2016-03,-5221
2016-03,-16619
2016-03,20665
2016-03,4472
2016-03,-677
2016-03,-743
2016-03,-10599
2016-03,-7372
2016-03,9738
2016-03,7082
2016-03,7485
2016-03,-4486
2016-03,-2404
2016-03,-6617
2016-03,-4993
2016-03,-2137
2016-03,11137
2016-03,2193
2016-03,4518
2016-04,-3744
2016-04,-12610
2016-04,-6517
2016-04,-3019
2016-04,13934
2016-04,3128
2016-04,1036
2016-04,411
2016-04,-18113
2016-04,10530
2016-04,8820
2016-04,-8283
2016-04,13773
2016-04,964
2016-04,1174
2016-04,-3528
2016-04,2690
2016-04,5151
2016-04,2086
2016-04,-1533
2016-04,1026
2016-04,3238
2016-04,-15175
2016-04,4231
2016-04,4441
2016-04,-7664
2016-04,7292
2016-04,-4503
2016-04,-2550
2016-04,3380
2016-05,-27561
2016-05,27839
2016-05,-15678
2016-05,8761
2016-05,8284
2016-05,-21043
2016-05,12218
2016-05,119
2016-05,14527
2016-05,-875
2016-05,6332
2016-05,1092
2016-05,-19882
2016-05,9672
2016-05,-13401
2016-05,14125
2016-05,609
2016-05,1407
2016-05,4381
2016-05,3360
2016-05,-22020
2016-05,7280
2016-05,10774
2016-05,-13779
2016-05,18642
2016-05,-1307
2016-05,-5191
2016-05,-12710
2016-05,2648
2016-05,-4254
2016-05,17147
2016-06,4888
2016-06,-261
2016-06,-15426
2016-06,1998
2016-06,-18578
2016-06,29735
2016-06,-369
2016-06,-9698
2016-06,10822
2016-06,350
2016-06,-12255
2016-06,-344
2016-06,8433
2016-06,5744
2016-06,236
2016-06,-8851
2016-06,8038
2016-06,-5335
2016-06,-3631
2016-06,6977
2016-06,1317
2016-06,2185
2016-06,-2543
2016-06,980
2016-06,-11186
2016-06,-8
2016-06,4031
2016-06,2570
2016-06,5289
2016-06,-39
2016-07,-15178
2016-07,-3830
2016-07,-488
2016-07,-488
2016-07,8877
2016-07,7600
2016-07,-2612
2016-07,-4324
2016-07,-6262
2016-07,3847
2016-07,10868
2016-07,3662
2016-07,-1044
2016-07,-5126
2016-07,-1787
2016-07,-10153
2016-07,2941
2016-07,2335
2016-07,10906
2016-07,2626
2016-07,-2381
2016-07,-5647
2016-07,-11663
2016-07,2112
2016-07,-4258
2016-07,17528
2016-07,1244
2016-07,-4014
2016-07,-12441
2016-07,-9913
2016-07,-129
2016-08,21744
2016-08,7349
2016-08,248
2016-08,-405
2016-08,-3301
2016-08,-9077
2016-08,-578
2016-08,8620
2016-08,3850
2016-08,-6001
2016-08,-2680
2016-08,-2691
2016-08,-5826
2016-08,-5942
2016-08,16095
2016-08,1355
2016-08,3572
2016-08,-774
2016-08,-1551
2016-08,-5850
2016-08,-10767
2016-08,19160
2016-08,4464
2016-08,-531
2016-08,-4654
2016-08,-1454
2016-08,-6353
2016-08,-1034
2016-08,8640
2016-08,4113
2016-08,-192
2016-09,-19026
2016-09,14825
2016-09,-11370
2016-09,4391
2016-09,-589
2016-09,7001
2016-09,7846
2016-09,1273
2016-09,-4747
2016-09,-8350
2016-09,3784
2016-09,8845
2016-09,3735
2016-09,-5890
2016-09,8384
2016-09,-2055
2016-09,-6058
2016-09,-7514
2016-09,-17480
2016-09,30676
2016-09,572
2016-09,2309
2016-09,-2263
2016-09,-12241
2016-09,305
2016-09,7557
2016-09,214
2016-09,-1878
2016-09,-3906
2016-09,-34182
2016-10,18441
2016-10,1209
2016-10,15351
2016-10,3827
2016-10,4835
2016-10,2549
2016-10,-1699
2016-10,-31257
2016-10,-12937
2016-10,30561
2016-10,6506
2016-10,-1257
2016-10,3712
2016-10,-648
2016-10,-8570
2016-10,-3125
2016-10,13783
2016-10,5575
2016-10,1534
2016-10,-6090
2016-10,-22803
2016-10,-15564
2016-10,16161
2016-10,13792
2016-10,-2587
2016-10,-201
2016-10,-31412
2016-10,25179
2016-10,-3720
2016-10,-4753
2016-10,12311
2016-11,5873
2016-11,6189
2016-11,-2501
2016-11,-1765
2016-11,-9180
2016-11,-9274
2016-11,10470
2016-11,6706
2016-11,-18539
2016-11,12813
2016-11,-5037
2016-11,-11162
2016-11,2142
2016-11,12004
2016-11,-25926
2016-11,30444
2016-11,561
2016-11,-519
2016-11,-12162
2016-11,-20592
2016-11,12348
2016-11,3759
2016-11,-2261
2016-11,-22340
2016-11,8858
2016-11,2830
2016-11,266
2016-11,18010
2016-11,-27502
2016-11,9850
2016-12,18799
2016-12,-875
2016-12,-12505
2016-12,-2399
2016-12,8473
2016-12,-2602
2016-12,4685
2016-12,1611
2016-12,-6081
2016-12,-11161
2016-12,-4581
2016-12,11237
2016-12,9988
2016-12,-1224
2016-12,-12797
2016-12,-518
2016-12,-17491
2016-12,9302
2016-12,9353
2016-12,2029
2016-12,2934
2016-12,263
2016-12,-4539
2016-12,-18321
2016-12,1905
2016-12,855
2016-12,15172
2016-12,-2350
2016-12,-10394
2016-12,8164
2016-12,-5441
2017-01,84
2017-01,-7088
2017-01,5277
2017-01,19841
2017-01,-5646
2017-01,-4216
2017-01,-19752
2017-01,1992
2017-01,9439
2017-01,7376
2017-01,9187
2017-01,7364
2017-01,-6172
2017-01,-19792
2017-01,3565
2017-01,6726
2017-01,-5464
2017-01,12211
2017-01,5704
2017-01,-9809
2017-01,-142
2017-01,-6087
2017-01,-4701
2017-01,-2651
2017-01,23760
2017-01,-3929
2017-01,-608
2017-01,-11092
2017-01,1225
2017-01,7089
2017-01,-4447
2017-02,10052
2017-02,-704
2017-02,-4885
2017-02,-10428
2017-02,855
2017-02,13356
2017-02,-10362
2017-02,17375
2017-02,-40428
2017-02,1997
2017-02,6962
2017-02,-3158
2017-02,18056
2017-02,5811
2017-02,2384
2017-02,-2932
2017-02,-385
2017-02,1836
2017-02,6392
2017-02,-4671
2017-02,351
2017-02,5476
2017-02,4315
2017-02,4597
2017-02,-13686
2017-02,-8632
2017-02,11271
2017-02,5851
2017-03,-1243
2017-03,-4853
2017-03,-4634
2017-03,-15459
2017-03,273
2017-03,16548
2017-03,-2784
2017-03,13787
2017-03,1781
2017-03,-26839
2017-03,-3227
2017-03,-1743
2017-03,13975
2017-03,-27417
2017-03,0
2017-03,0
2017-03,7098
2017-03,-2992
2017-03,6444
2017-03,16828
2017-03,9446
2017-03,-9897
2017-03,2958
2017-03,4134
2017-03,-4372
2017-03,-9754
2017-03,6408
2017-03,-4711
2017-03,20840
2017-03,-2684
2017-03,-32800
2017-04,16903
2017-04,15930
2017-04,3705
2017-04,-13494
2017-04,17645
2017-04,-29615
2017-04,17759
2017-04,157
2017-04,7959
2017-04,6527
2017-04,6887
2017-04,-6121
2017-04,1727
2017-04,-685
2017-04,-9699
2017-04,5606
2017-04,5110
2017-04,562
2017-04,-8021
2017-04,-1528
2017-04,-4392
2017-04,-5272
2017-04,14510
2017-04,-414
2017-04,-28360
2017-04,17395
2017-04,14308
2017-04,10164
2017-04,-4498
2017-04,-14773
2017-05,13290
2017-05,4987
2017-05,-1954
2017-05,-1823
2017-05,-33419
2017-05,22607
2017-05,-12323
2017-05,17260
2017-05,4908
2017-05,1991
2017-05,-1244
2017-05,-537
2017-05,-50967
2017-05,33025
2017-05,15986
2017-05,9789
2017-05,1287
2017-05,-2038
2017-05,-1610
2017-05,-14285
2017-05,7015
2017-05,-30246
2017-05,35397
2017-05,597
2017-05,-43127
2017-05,36269
2017-05,-7230
2017-05,191
2017-05,-20403
2017-05,23871
2017-05,9302
2017-06,7910
2017-06,-499
2017-06,-10642
2017-06,-16125
2017-06,15744
2017-06,-14614
2017-06,23184
2017-06,-1800
2017-06,3852
2017-06,-9418
2017-06,-5659
2017-06,6443
2017-06,3050
2017-06,-410
2017-06,4251
2017-06,-8360
2017-06,-21502
2017-06,14570
2017-06,-11161
2017-06,26362
2017-06,2545
2017-06,-911
2017-06,-10983
2017-06,-3171
2017-06,2495
2017-06,8016
2017-06,2101
2017-06,2978
2017-06,-3480
2017-06,-5600
2017-07,-21923
2017-07,6298
2017-07,5158
2017-07,1731
2017-07,10397
2017-07,1826
2017-07,-18079
2017-07,10947
2017-07,2103
2017-07,3790
2017-07,762
2017-07,116
2017-07,-5311
2017-07,-24624
2017-07,24648
2017-07,334
2017-07,5722
2017-07,3679
2017-07,-2318
2017-07,-4251
2017-07,409
2017-07,-12061
2017-07,-1068
2017-07,-3152
2017-07,21546
2017-07,4990
2017-07,-4556
2017-07,-1862
2017-07,-10956
2017-07,6409
2017-07,4867
2017-08,2445
2017-08,-10497
2017-08,9965
2017-08,-9753
2017-08,2575
2017-08,-2493
2017-08,-33078
2017-08,41833
2017-08,2646
2017-08,-1629
2017-08,-3111
2017-08,-2603
2017-08,-3020
2017-08,3949
2017-08,-9000
2017-08,15974
2017-08,-1780
2017-08,-30035
2017-08,25821
2017-08,-7002
2017-08,5617
2017-08,-514
2017-08,4528
2017-08,1237
2017-08,-2089
2017-08,-14106
2017-08,4483
2017-08,6291
2017-08,-25734
2017-08,30177
2017-08,-447
2017-09,-10000
2017-09,-17071
2017-09,-6855
2017-09,24329
2017-09,10159
2017-09,-23125
2017-09,27253
2017-09,45
2017-09,-9429
2017-09,563
2017-09,11214
2017-09,2659
2017-09,-5007
2017-09,2512
2017-09,233
2017-09,-11284
2017-09,-1074
2017-09,4204
2017-09,-6230
2017-09,13245
2017-09,-3423
2017-09,2393
2017-09,-7444
2017-09,-5245
2017-09,11768
2017-09,2295
2017-09,-1624
2017-09,1009
2017-09,-3705
2017-09,-17046
2017-10,5303
2017-10,10006
2017-10,3596
2017-10,2348
2017-10,-1280
2017-10,76
2017-10,-6619
2017-10,-22591
2017-10,-2649
2017-10,35727
2017-10,-10530
2017-10,-2343
